date,sport,category,home_team,away_team,market,selection,ai_probability,bookmaker_odds,value,bet_mode,odds_source,result,won,surface,home_matches,away_matches
20260406,Linz,tennis,Anastasia Potapova,Tamara Korpatsch,Player 2 Win,Tamara Korpatsch,0.4388,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,53,11
20260406,Linz,tennis,Dayana Yastremska,Elena Gabriela Ruse,Player 1 Win,Dayana Yastremska,0.6253,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,70,38
20260406,Linz,tennis,Dayana Yastremska,Elena Gabriela Ruse,Player 2 Win,Elena Gabriela Ruse,0.3747,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,70,38
20260406,Linz,tennis,Jelena Ostapenko,Alexandra Eala,Player 1 Win,Jelena Ostapenko,0.4837,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,57,46
20260406,Linz,tennis,Jelena Ostapenko,Alexandra Eala,Player 2 Win,Alexandra Eala,0.5163,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,57,46
20260406,Linz,tennis,Dalma Galfi,Sorana Cirstea,Player 1 Win,Dalma Galfi,0.0838,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,19,66
20260406,Linz,tennis,Dalma Galfi,Sorana Cirstea,Player 2 Win,Sorana Cirstea,0.9162,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,19,66
20260406,Linz,tennis,Mirra Andreeva,Sloane Stephens,Player 1 Win,Mirra Andreeva,0.92,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,78,11
20260406,Linz,tennis,Mirra Andreeva,Sloane Stephens,Player 2 Win,Sloane Stephens,0.08,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,78,11
20260406,Linz,tennis,Karolina Pliskova,Donna Vekic,Player 1 Win,Karolina Pliskova,0.4921,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,7,45
20260406,Linz,tennis,Karolina Pliskova,Donna Vekic,Player 2 Win,Donna Vekic,0.5079,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,7,45
20260406,Linz,tennis,Mirra Andreeva,Anastasia Potapova,Player 1 Win,Mirra Andreeva,0.7866,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,79,54
20260406,Linz,tennis,Mirra Andreeva,Anastasia Potapova,Player 2 Win,Anastasia Potapova,0.2134,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,79,54
20260406,Linz,tennis,Elena Gabriela Ruse,Mirra Andreeva,Player 1 Win,Elena Gabriela Ruse,0.1046,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,39,80
20260406,Linz,tennis,Elena Gabriela Ruse,Mirra Andreeva,Player 2 Win,Mirra Andreeva,0.8954,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,39,80
20260406,Linz,tennis,Anastasia Potapova,Donna Vekic,Player 1 Win,Anastasia Potapova,0.6427,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,55,46
20260406,Linz,tennis,Anastasia Potapova,Donna Vekic,Player 2 Win,Donna Vekic,0.3573,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,55,46
20260406,Linz,tennis,Ekaterina Alexandrova,Karolina Pliskova,Player 1 Win,Ekaterina Alexandrova,0.7628,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,85,8
20260406,Linz,tennis,Ekaterina Alexandrova,Karolina Pliskova,Player 2 Win,Karolina Pliskova,0.2372,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,85,8
20260406,Linz,tennis,Sloane Stephens,Tatjana Maria,Player 1 Win,Sloane Stephens,0.3105,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,12,47
20260406,Linz,tennis,Sloane Stephens,Tatjana Maria,Player 2 Win,Tatjana Maria,0.6895,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,12,47
20260406,Linz,tennis,Alycia Parks,Dalma Galfi,Player 1 Win,Alycia Parks,0.6633,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,53,20
20260406,Linz,tennis,Alycia Parks,Dalma Galfi,Player 2 Win,Dalma Galfi,0.3367,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,53,20
20260406,Linz,tennis,Sorana Cirstea,Sinja Kraus,Player 1 Win,Sorana Cirstea,0.8439,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,67,12
20260406,Linz,tennis,Sorana Cirstea,Sinja Kraus,Player 2 Win,Sinja Kraus,0.1561,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,67,12
20260406,Linz,tennis,Julia Grabher,Alexandra Eala,Player 1 Win,Julia Grabher,0.1616,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,15,47
20260406,Linz,tennis,Julia Grabher,Alexandra Eala,Player 2 Win,Alexandra Eala,0.8384,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,15,47
20260406,Linz,tennis,Anastasia Potapova,Shuai Zhang,Player 1 Win,Anastasia Potapova,0.6395,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,56,29
20260406,Linz,tennis,Anastasia Potapova,Shuai Zhang,Player 2 Win,Shuai Zhang,0.3605,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,56,29
20260406,Linz,tennis,Paula Badosa,Lilli Tagger,Player 1 Win,Paula Badosa,0.4534,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,46,11
20260406,Linz,tennis,Paula Badosa,Lilli Tagger,Player 2 Win,Lilli Tagger,0.5466,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,46,11
20260406,Linz,tennis,Anhelina Kalinina,Panna Udvardy,Player 1 Win,Anhelina Kalinina,0.2474,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,23,16
20260406,Linz,tennis,Anhelina Kalinina,Panna Udvardy,Player 2 Win,Panna Udvardy,0.7526,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,23,16
20260406,Linz,tennis,Katie Volynets,Donna Vekic,Player 1 Win,Katie Volynets,0.4619,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,44,47
20260406,Linz,tennis,Katie Volynets,Donna Vekic,Player 2 Win,Donna Vekic,0.5381,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,44,47
20260406,Linz,tennis,Karolina Pliskova,Aliaksandra Sasnovich,Player 1 Win,Karolina Pliskova,0.599,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,9,25
20260406,Linz,tennis,Karolina Pliskova,Aliaksandra Sasnovich,Player 2 Win,Aliaksandra Sasnovich,0.401,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,9,25
20260406,Linz,tennis,Sorana Cirstea,Mirra Andreeva,Player 1 Win,Sorana Cirstea,0.4271,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,68,81
20260406,Linz,tennis,Sorana Cirstea,Mirra Andreeva,Player 2 Win,Mirra Andreeva,0.5729,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,68,81
20260406,Linz,tennis,Elena Gabriela Ruse,Jelena Ostapenko,Player 1 Win,Elena Gabriela Ruse,0.2083,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,40,58
20260406,Linz,tennis,Elena Gabriela Ruse,Jelena Ostapenko,Player 2 Win,Jelena Ostapenko,0.7917,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,40,58
20260406,Linz,tennis,Jaqueline Cristian,Tamara Korpatsch,Player 1 Win,Jaqueline Cristian,0.7218,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,66,12
20260406,Linz,tennis,Jaqueline Cristian,Tamara Korpatsch,Player 2 Win,Tamara Korpatsch,0.2782,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,66,12
20260406,Linz,tennis,Elena Gabriela Ruse,Katie Boulter,Player 1 Win,Elena Gabriela Ruse,0.3311,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,41,50
20260406,Linz,tennis,Elena Gabriela Ruse,Katie Boulter,Player 2 Win,Katie Boulter,0.6689,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,41,50
20260406,Linz,tennis,Ann Li,Dayana Yastremska,Player 1 Win,Ann Li,0.5744,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,68,71
20260406,Linz,tennis,Ann Li,Dayana Yastremska,Player 2 Win,Dayana Yastremska,0.4256,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,68,71
20260410,BJK Cup Qualifiers,tennis,Mika Stojsavljevic,Talia Gibson,Player 1 Win,Mika Stojsavljevic,0.1527,,,BACKTEST,tennis-model-backtest,WIN,1,nan,1,21
20260410,BJK Cup Qualifiers,tennis,Mika Stojsavljevic,Talia Gibson,Player 2 Win,Talia Gibson,0.8473,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,1,21
20260410,BJK Cup Qualifiers,tennis,Kimberly Birrell,Harriet Dart,Player 1 Win,Kimberly Birrell,0.8218,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,52,9
20260410,BJK Cup Qualifiers,tennis,Kimberly Birrell,Harriet Dart,Player 2 Win,Harriet Dart,0.1782,,,BACKTEST,tennis-model-backtest,WIN,1,nan,52,9
20260410,BJK Cup Qualifiers,tennis,Yulia Putintseva,Kayla Cross,Player 1 Win,Yulia Putintseva,0.8042,,,BACKTEST,tennis-model-backtest,WIN,1,nan,59,1
20260410,BJK Cup Qualifiers,tennis,Yulia Putintseva,Kayla Cross,Player 2 Win,Kayla Cross,0.1958,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,59,1
20260410,BJK Cup Qualifiers,tennis,Moyuka Uchijima,Elisabetta Cocciaretto,Player 1 Win,Moyuka Uchijima,0.1703,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,46,55
20260410,BJK Cup Qualifiers,tennis,Moyuka Uchijima,Elisabetta Cocciaretto,Player 2 Win,Elisabetta Cocciaretto,0.8297,,,BACKTEST,tennis-model-backtest,WIN,1,nan,46,55
20260410,BJK Cup Qualifiers,tennis,Kaitlin Quevedo,Tamara Zidansek,Player 1 Win,Kaitlin Quevedo,0.5062,,,BACKTEST,tennis-model-backtest,WIN,1,nan,3,3
20260410,BJK Cup Qualifiers,tennis,Kaitlin Quevedo,Tamara Zidansek,Player 2 Win,Tamara Zidansek,0.4938,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,3,3
20260410,BJK Cup Qualifiers,tennis,Marie Bouzkova,Belinda Bencic,Player 1 Win,Marie Bouzkova,0.2942,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,65,76
20260410,BJK Cup Qualifiers,tennis,Marie Bouzkova,Belinda Bencic,Player 2 Win,Belinda Bencic,0.7058,,,BACKTEST,tennis-model-backtest,WIN,1,nan,65,76
20260410,BJK Cup Qualifiers,tennis,Bianca Andreescu,Sonja Zhiyenbayeva,Player 1 Win,Bianca Andreescu,0.5427,,,BACKTEST,tennis-model-backtest,WIN,1,nan,20,0
20260410,BJK Cup Qualifiers,tennis,Bianca Andreescu,Sonja Zhiyenbayeva,Player 2 Win,Sonja Zhiyenbayeva,0.4573,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,20,0
20260410,BJK Cup Qualifiers,tennis,Himeno Sakatsume,Jasmine Paolini,Player 1 Win,Himeno Sakatsume,0.2181,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,6,82
20260410,BJK Cup Qualifiers,tennis,Himeno Sakatsume,Jasmine Paolini,Player 2 Win,Jasmine Paolini,0.7819,,,BACKTEST,tennis-model-backtest,WIN,1,nan,6,82
20260410,BJK Cup Qualifiers,tennis,Veronika Erjavec,Leyre Romero Gormaz,Player 1 Win,Veronika Erjavec,0.367,,,BACKTEST,tennis-model-backtest,WIN,1,nan,9,6
20260410,BJK Cup Qualifiers,tennis,Veronika Erjavec,Leyre Romero Gormaz,Player 2 Win,Leyre Romero Gormaz,0.633,,,BACKTEST,tennis-model-backtest,LOSS,0,nan,9,6
