team,player,position,minutes,goals,assists,shots,shots_on,penalties,scorer_score
Atalanta,C. Okoli,Defender,0,0,0,0,0,0,0.0
Atalanta,D. Zapata,Attacker,0,0,0,0,0,0,0.0
Atalanta,G. Cittadini,Defender,0,0,0,0,0,0,0.0
Atalanta,N. Cambiaghi,Attacker,0,0,0,0,0,0,0.0
Atalanta,P. Gollini,Goalkeeper,0,0,0,0,0,0,0.0
Atalanta,R. Piccoli,Attacker,0,0,0,0,0,0,0.0
Atletico Madrid,Gabriel Paulista,Defender,0,0,0,0,0,0,0.0
Auxerre,C. Dagba,Defender,0,0,0,0,0,0,0.0
Auxerre,I. Soumaré,Attacker,0,0,0,0,0,0,0.0
Auxerre,R. Mandengue,Attacker,0,0,0,0,0,0,0.0
Auxerre,S. Laiton,Goalkeeper,0,0,0,0,0,0,0.0
Auxerre,T. Diawara,Attacker,0,0,0,0,0,0,0.0
Barcelona,João Cancelo,Defender,0,0,0,0,0,0,0.0
Barcelona,João Félix,Attacker,0,0,0,0,0,0,0.0
Bayer Leverkusen,A. Hložek,Attacker,0,0,3,48,25,0,34.49
Bayer Leverkusen,K. Raterink,Defender,0,0,0,0,0,0,0.0
Bayer Leverkusen,Ken Eghosa Gideon Izekor,Attacker,0,0,0,0,0,0,0.0
Bayer Leverkusen,S. Rapsch,Goalkeeper,0,0,0,0,0,0,0.0
Bayern München,Adin Ličina,Midfielder,0,0,0,0,0,0,0.0
Bayern München,Bryan Zaragoza,Attacker,0,0,0,0,0,0,0.0
Bayern München,Grayson Dettoni,Defender,0,0,0,0,0,0,0.0
Bayern München,J. Janitzek,Defender,0,0,0,0,0,0,0.0
Bayern München,Javier Fernández González,Midfielder,0,0,0,0,0,0,0.0
Bayern München,L. Denk,Defender,0,0,0,0,0,0,0.0
Bayern München,M. Scholze,Defender,0,0,0,0,0,0,0.0
Bayern München,Mudaser Sadat,Attacker,0,0,0,0,0,0,0.0
Bayern München,Olof Matteo Perez Vinlöf,Defender,0,0,0,0,0,0,0.0
Bayern München,T. Hülsmann,Goalkeeper,0,0,0,0,0,0,0.0
Bayern München,Vincent Manuba,Defender,0,0,0,0,0,0,0.0
Bologna,G. Cangiano,Attacker,0,0,0,0,0,0,0.0
Bologna,L. Binks,Defender,0,0,0,0,0,0,0.0
Bologna,M. Arnautović,Attacker,0,0,0,0,0,0,0.0
Borussia Dortmund,T. Rothe,Defender,0,0,3,17,9,0,13.61
Borussia Dortmund,G. Reyna,Midfielder,341,2,0,2,2,0,7.85
Borussia Dortmund,F. Roggow,Midfielder,0,0,0,0,0,0,0.0
Borussia Dortmund,J. Hettwer,Attacker,0,0,0,0,0,0,0.0
Borussia Dortmund,Tyler Louis Meiser,Defender,0,0,0,0,0,0,0.0
Borussia Mönchengladbach,Yannik David Dasbach,Defender,0,0,0,0,0,0,0.0
Bournemouth,E. Marcondes,Midfielder,0,0,0,0,0,0,0.0
Bournemouth,I. Radu,Goalkeeper,0,0,0,0,0,0,0.0
Bournemouth,K. Moore,Attacker,0,0,0,0,0,0,0.0
Bournemouth,L. Kelly,Defender,0,0,0,0,0,0,0.0
Brentford,E. Brierley,Midfielder,0,0,0,0,0,0,0.0
Brentford,N. Maupay,Attacker,0,0,0,0,0,0,0.0
Brentford,S. Baptiste,Midfielder,0,0,0,0,0,0,0.0
Brentford,S. Ghoddos,Attacker,0,0,0,0,0,0,0.0
Brentford,Val Adedokun,Defender,0,0,0,0,0,0,0.0
Brentford,Vincent Angelini,Goalkeeper,0,0,0,0,0,0,0.0
Brighton,Ansu Fati,Attacker,0,0,0,0,0,0,0.0
Cagliari,C. Travaglini,Defender,0,0,0,0,0,0,0.0
Cagliari,S. Boccia,Defender,0,0,0,0,0,0,0.0
Como,M. Tremolada,Midfielder,0,0,0,0,0,0,0.0
Como,S. Ghidotti,Goalkeeper,0,0,0,0,0,0,0.0
Crystal Palace,J. Riedewald,Midfielder,0,0,0,0,0,0,0.0
Crystal Palace,N. Ferguson,Defender,0,0,0,0,0,0,0.0
Eintracht Frankfurt,I. Matanović,Attacker,300,1,0,10,5,0,9.53
Eintracht Frankfurt,Andrew Junior Awusi Boddien,Midfielder,0,0,0,0,0,0,0.0
Empoli,A. Renzi,Midfielder,0,0,0,0,0,0,0.0
Empoli,D. Degli Innocenti,Midfielder,0,0,0,0,0,0,0.0
Empoli,S. Luperto,Defender,0,0,0,0,0,0,0.0
Everton,A. Danjuma,Attacker,0,0,0,0,0,0,0.0
Everton,A. Lonergan,Goalkeeper,0,0,0,0,0,0,0.0
Everton,André Gomes,Midfielder,0,0,0,0,0,0,0.0
Everton,B. Godfrey,Defender,0,0,0,0,0,0,0.0
Everton,D. Alli,Midfielder,0,0,0,0,0,0,0.0
Everton,L. Dobbin,Attacker,0,0,0,0,0,0,0.0
FC Augsburg,E. Demirović,Attacker,0,0,1,52,30,0,38.28
FC Augsburg,D. Beljo,Attacker,0,0,0,0,0,0,0.0
FC St. Pauli,E. Staugaard,Defender,0,0,0,0,0,0,0.0
FC St. Pauli,Ronny Boamah Seibt,Goalkeeper,0,0,0,0,0,0,0.0
FSV Mainz 05,A. Sieb,Attacker,750,2,2,23,7,0,18.75
FSV Mainz 05,L. Maloney,Midfielder,21,0,0,2,0,0,0.51
FSV Mainz 05,L. Laux,Defender,0,0,0,0,0,0,0.0
Fiorentina,C. Dalle Mura,Defender,0,0,0,0,0,0,0.0
Fiorentina,F. Distefano,Attacker,0,0,0,0,0,0,0.0
Fiorentina,L. Munteanu,Attacker,0,0,0,0,0,0,0.0
Fulham,A. Broja,Attacker,0,0,0,0,0,0,0.0
Fulham,F. Ballo-Touré,Defender,0,0,0,0,0,0,0.0
Fulham,M. Rodák,Goalkeeper,0,0,0,0,0,0,0.0
Fulham,T. Adarabioyo,Defender,0,0,0,0,0,0,0.0
Genoa,F. Valietti,Defender,0,0,0,0,0,0,0.0
Genoa,Josep Martínez,Goalkeeper,0,0,0,0,0,0,0.0
Genoa,L. Czyborra,Defender,0,0,0,0,0,0,0.0
Genoa,M. Aramu,Midfielder,0,0,0,0,0,0,0.0
Genoa,M. Coda,Attacker,0,0,0,0,0,0,0.0
Getafe,Daniel Fuzato,Goalkeeper,0,0,0,0,0,0,0.0
Getafe,I. Moriba,Midfielder,0,0,0,0,0,0,0.0
Getafe,Jaime Mata,Attacker,0,0,0,0,0,0,0.0
Getafe,José Ángel Carmona,Defender,0,0,0,0,0,0,0.0
Getafe,Juanmi Latasa,Attacker,0,0,0,0,0,0,0.0
Getafe,M. Greenwood,Attacker,0,0,0,0,0,0,0.0
Getafe,N. Maksimović,Midfielder,0,0,0,0,0,0,0.0
Getafe,Óscar Rodríguez,Midfielder,0,0,0,0,0,0,0.0
Girona,Aleix García,Midfielder,0,0,0,0,0,0,0.0
Girona,Eric García,Defender,0,0,0,0,0,0,0.0
Girona,Pablo Torre,Midfielder,0,0,0,0,0,0,0.0
Girona,Sávio,Attacker,0,0,0,0,0,0,0.0
Girona,Yan Couto,Defender,0,0,0,0,0,0,0.0
Hellas Verona,K. Lasagna,Forward,0,0,0,0,0,0,0.0
Hellas Verona,M. Çetin,Defender,0,0,0,0,0,0,0.0
Holstein Kiel,S. Machino,Attacker,1962,11,2,41,23,2,64.64
Holstein Kiel,K. Okyere Wriedt,Attacker,0,0,0,0,0,0,0.0
Inter,A. Silvestro,Defender,0,0,0,0,0,0,0.0
Inter,G. Oristanio,Midfielder,0,0,0,0,0,0,0.0
Inter,M. Zanotti,Defender,0,0,0,0,0,0,0.0
Inter,Z. Vanheusden,Defender,0,0,0,0,0,0,0.0
Ipswich,C. Stewart,Defender,0,0,0,0,0,0,0.0
Ipswich,D. Ball,Midfielder,0,0,0,0,0,0,0.0
Ipswich,K. Jackson,Attacker,0,0,0,0,0,0,0.0
Juventus,A. Sersanti,Midfielder,0,0,0,0,0,0,0.0
Juventus,G. Frabotta,Defender,0,0,0,0,0,0,0.0
Juventus,M. Compagnon,Midfielder,0,0,0,0,0,0,0.0
Juventus,M. Kean,Attacker,0,0,0,0,0,0,0.0
Las Palmas,J. Araujo,Defender,0,0,0,0,0,0,0.0
Las Palmas,M. Perrone,Midfielder,0,0,0,0,0,0,0.0
Lazio,C. Immobile,Forward,0,0,0,0,0,0,0.0
Lazio,M. Bertini,Midfielder,0,0,0,0,0,0,0.0
Le Havre,D. Moussadek,Defender,0,0,0,0,0,0,0.0
Le Havre,M. Bayo,Forward,0,0,0,0,0,0,0.0
Le Havre,M. Koné,Goalkeeper,0,0,0,0,0,0,0.0
Lecce,M. Bleve,Goalkeeper,0,0,0,0,0,0,0.0
Lecce,Pablo Rodríguez,Attacker,0,0,0,0,0,0,0.0
Leicester,D. Praet,Midfielder,0,0,0,0,0,0,0.0
Leicester,Y. Akgün,Forward,0,0,0,0,0,0,0.0
Lens,I. Baldé,Attacker,0,0,0,0,0,0,0.0
Lens,J. Le Cardinal,Defender,0,0,0,0,0,0,0.0
Lens,J. Leca,Goalkeeper,0,0,0,0,0,0,0.0
Lille,A. Jakubech,Goalkeeper,0,0,0,0,0,0,0.0
Lille,A. Ounas,Midfielder,0,0,0,0,0,0,0.0
Lille,Ivan Cavaleiro,Forward,0,0,0,0,0,0,0.0
Lille,Y. Yazıcı,Midfielder,0,0,0,0,0,0,0.0
